ID;B0;B1;B2;B3;B4;B5;B6;B7
2002;2;0;1;40;1;194;0;179
2001;1;0;0;136;0;158;0;158
2002;2;0;1;114;2;194;2;32
2005;0;0;0;0;0;0;0;0
2006;0;0;0;0;0;0;0;0
2000;0;0;0;0;0;232;0;0
2002;2;0;2;52;2;9;0;4
2001;1;0;0;107;0;142;0;142
2003;3;0;0;0;0;0;0;195
2002;2;0;0;137;2;26;1;175
2004;0;0;1;44;0;100;0;56
2000;0;0;11;184;0;0;0;208
2001;1;0;3;251;0;29;0;29
2002;2;0;2;90;1;177;3;16
2001;1;0;2;140;0;85;0;85
2002;2;0;1;153;1;223;1;41
2000;0;0;3;232;0;48;255;96
2001;1;0;3;125;0;81;0;81
2002;2;0;1;191;0;228;0;58
2001;1;0;3;9;0;191;0;191
2002;2;0;3;251;3;235;0;194
2015;8;253;0;47;0;0;0;1
2017;0;0;0;0;0;0;0;0
2000;0;0;241;96;0;24;0;208
2016;0;0;0;0;0;0;0;0
2001;1;0;2;246;0;159;0;159
2002;2;0;0;146;1;5;3;38
2001;1;0;0;160;0;37;0;37
2002;2;0;1;140;0;190;1;252
2000;0;0;253;24;255;96;0;0
2002;2;0;1;64;2;102;0;82
2001;1;0;1;145;0;61;0;61
2005;0;0;0;0;0;0;0;0
2006;0;0;0;0;0;0;0;0
2001;1;0;0;239;0;75;0;75
2002;2;0;0;250;0;10;1;25
2000;0;0;11;184;0;48;255;72
2003;3;0;0;0;0;0;1;170
2004;0;56;255;212;255;212;0;9
2001;1;0;3;157;0;189;0;189
2002;2;0;1;65;2;141;2;190
2023;0;0;0;0;0;0;0;0
2001;1;0;2;81;0;77;0;77
2002;2;0;0;174;2;210;1;31
2000;0;0;249;48;0;232;1;184
2015;4;175;0;213;0;0;0;1
2001;1;0;3;243;0;197;0;197
2002;2;0;2;191;0;212;1;133
2001;1;0;2;190;0;77;0;77
2002;2;0;2;207;0;175;2;28
2001;1;0;0;113;0;153;0;153
2002;2;0;1;226;2;11;3;34
2000;0;0;11;184;0;24;255;96
2015;1;3;0;62;0;0;0;4
2016;0;0;0;0;0;0;0;0
2019;0;0;0;0;0;0;0;0
2002;2;0;1;99;1;155;3;93
2017;0;0;0;0;0;0;0;0
2001;1;0;2;214;0;147;0;147
2002;2;0;1;125;2;155;1;162
2000;0;0;249;48;255;96;0;208
2001;1;0;1;67;0;56;0;56
2006;0;0;0;0;0;0;0;0
2002;2;0;3;152;1;179;0;171
2001;1;0;2;167;0;151;0;151
2002;2;0;1;249;3;24;1;41
2003;3;0;0;0;0;0;0;2
2004;1;44;0;56;1;44;0;23
2001;1;0;2;250;0;93;0;93
2002;2;0;2;126;2;41;0;20
2000;0;0;3;232;1;184;0;48
2015;4;184;0;71;0;0;0;1
;;;;;;;;
2002;2;0;2;166;0;83;2;33
2002;2;0;1;196;2;167;2;133
2006;0;0;0;0;0;0;0;0
2002;2;0;3;80;1;87;0;80
2017;0;0;0;0;0;0;0;0
2000;0;0;3;232;255;72;0;24
2001;1;0;3;62;0;166;0;166
2002;2;0;3;1;1;95;2;174
2004;255;212;1;44;0;200;0;9
2003;3;0;0;0;0;0;3;14
2001;1;0;0;216;0;56;0;56
2002;2;0;2;202;0;198;0;100
2000;0;0;3;232;0;0;0;0
2002;2;0;0;41;1;47;3;105
2001;1;0;0;96;0;86;0;86
2001;1;0;2;201;0;44;0;44
2002;2;0;3;47;2;43;0;68
2015;9;254;0;30;0;0;0;0
2016;0;0;0;0;0;0;0;0
2019;0;0;0;0;0;0;0;0
2000;0;0;245;72;255;96;1;184
2001;1;0;1;88;0;187;0;187
2002;2;0;0;143;2;180;2;231
2001;1;0;0;235;0;3;0;3
2002;2;0;1;80;0;234;2;138
2017;0;0;0;0;0;0;0;0
2000;0;0;245;72;0;0;0;232
2001;1;0;3;114;0;152;0;152
2002;2;0;3;48;3;130;0;1
2001;1;0;1;126;0;150;0;150
2002;2;0;1;226;3;73;0;102
2000;0;0;249;48;1;184;0;232
2001;1;0;3;159;0;119;0;119
2017;0;0;0;0;0;0;0;0
2023;0;0;0;0;0;0;0;0
2002;2;0;2;4;2;19;2;57
2001;1;0;1;114;0;184;0;184
2002;2;0;2;176;2;142;3;112
2004;255;112;0;200;0;156;0;23
2000;0;0;241;96;0;24;0;0
2003;3;0;0;0;0;0;1;225
2001;1;0;2;69;0;132;0;132
2002;2;0;3;169;0;251;0;239
2001;1;0;0;74;0;122;0;122
2002;2;0;3;218;1;188;3;251
2000;0;0;249;48;255;96;0;232
2001;1;0;3;26;0;170;0;170
2002;2;0;1;168;3;161;2;156
2001;1;0;1;99;0;63;0;63
2002;2;0;0;237;3;69;3;17
2017;0;0;0;0;0;0;0;0
2000;0;0;3;232;0;0;255;96
2015;3;246;0;170;0;0;0;4
2001;1;0;0;46;0;72;0;72
2002;2;0;2;32;0;58;1;39
2001;1;0;1;38;0;139;0;139
2002;2;0;1;177;3;223;1;93
2000;0;0;253;24;1;184;0;0
2001;1;0;3;206;0;141;0;141
2002;2;0;3;49;3;70;0;238
2001;1;0;1;123;0;15;0;15
2002;2;0;3;215;1;96;2;156
2005;0;0;0;0;0;0;0;0
2006;0;0;0;0;0;0;0;0
2015;4;64;0;49;0;0;0;3
2002;2;0;1;231;1;77;3;138
2004;0;100;0;0;0;156;0;70
2000;0;0;7;208;0;24;255;96
2000;0;0;0;0;0;48;0;232
2001;1;0;3;116;0;173;0;173
2002;2;0;0;230;3;18;0;84
2001;1;0;0;105;0;180;0;180
2002;2;0;0;128;1;151;2;75
2000;0;0;249;48;255;72;0;0
2001;1;0;1;234;0;168;0;168
2002;2;0;0;171;1;131;2;55
2001;1;0;2;184;0;53;0;53
2002;2;0;0;16;0;183;3;104
2015;1;66;0;191;0;0;0;5
2016;0;0;0;0;0;0;0;0
2019;0;0;0;0;0;0;0;0
2000;0;0;3;232;255;96;0;208
2002;2;0;1;21;0;109;2;28
2017;0;0;0;0;0;0;0;0
2001;1;0;1;216;0;128;0;128
2002;2;0;1;110;1;13;1;90
2000;0;0;241;96;0;232;0;0
2001;1;0;2;215;0;147;0;147
2002;2;0;1;40;1;194;0;179
2001;1;0;0;136;0;158;0;158
2002;2;0;1;114;2;194;2;32
2005;0;0;0;0;0;0;0;0
2006;0;0;0;0;0;0;0;0
2000;0;0;0;0;0;232;0;0
2002;2;0;2;52;2;9;0;4
2001;1;0;0;107;0;142;0;142
2003;3;0;0;0;0;0;0;195
2002;2;0;0;137;2;26;1;175
2004;0;0;1;44;0;100;0;56
2000;0;0;11;184;0;0;0;208
2001;1;0;3;251;0;29;0;29
2002;2;0;2;90;1;177;3;16
2001;1;0;2;140;0;85;0;85
2002;2;0;1;153;1;223;1;41
2000;0;0;3;232;0;48;255;96
2001;1;0;3;125;0;81;0;81
2002;2;0;1;191;0;228;0;58
2001;1;0;3;9;0;191;0;191
2002;2;0;3;251;3;235;0;194
2015;8;253;0;47;0;0;0;1
2017;0;0;0;0;0;0;0;0
2000;0;0;241;96;0;24;0;208
2016;0;0;0;0;0;0;0;0
2001;1;0;2;246;0;159;0;159
2002;2;0;0;146;1;5;3;38
2001;1;0;0;160;0;37;0;37
2002;2;0;1;140;0;190;1;252
2000;0;0;253;24;255;96;0;0
2002;2;0;1;64;2;102;0;82
2001;1;0;1;145;0;61;0;61
2005;0;0;0;0;0;0;0;0
2006;0;0;0;0;0;0;0;0
2001;1;0;0;239;0;75;0;75
2002;2;0;0;250;0;10;1;25
2000;0;0;11;184;0;48;255;72
2003;3;0;0;0;0;0;1;170
2004;0;56;255;212;255;212;0;9
2001;1;0;3;157;0;189;0;189
2002;2;0;1;65;2;141;2;190
2023;0;0;0;0;0;0;0;0
2001;1;0;2;81;0;77;0;77
2002;2;0;0;174;2;210;1;31
2000;0;0;249;48;0;232;1;184
2015;4;175;0;213;0;0;0;1
2001;1;0;3;243;0;197;0;197
2002;2;0;2;191;0;212;1;133
2001;1;0;2;190;0;77;0;77
2002;2;0;2;207;0;175;2;28
2001;1;0;0;113;0;153;0;153
2002;2;0;1;226;2;11;3;34
2000;0;0;11;184;0;24;255;96
2015;1;3;0;62;0;0;0;4
2016;0;0;0;0;0;0;0;0
2019;0;0;0;0;0;0;0;0
2002;2;0;1;99;1;155;3;93
2017;0;0;0;0;0;0;0;0
2001;1;0;2;214;0;147;0;147
2002;2;0;1;125;2;155;1;162
2000;0;0;249;48;255;96;0;208
2001;1;0;1;67;0;56;0;56
2006;0;0;0;0;0;0;0;0
2002;2;0;3;152;1;179;0;171
2001;1;0;2;167;0;151;0;151
2002;2;0;1;249;3;24;1;41
2003;3;0;0;0;0;0;0;2
2004;1;44;0;56;1;44;0;23
2001;1;0;2;250;0;93;0;93
2002;2;0;2;126;2;41;0;20
2000;0;0;3;232;1;184;0;48
2015;4;184;0;71;0;0;0;1
2016;0;0;0;0;0;0;0;0
2002;2;0;0;167;3;112;2;197
2000;0;0;253;24;255;72;0;24
2001;1;0;3;84;0;106;0;106
2002;2;0;1;30;2;195;3;42
2017;0;0;0;0;0;0;0;0
2001;1;0;2;210;0;174;0;174
2002;2;0;3;51;2;174;2;33
2000;0;0;241;96;0;232;255;96
2001;1;0;2;86;0;113;0;113
2002;2;0;2;179;2;122;2;52
2001;1;0;3;158;0;10;0;10
2002;2;0;1;246;2;64;2;151
2015;9;101;0;103;0;0;0;2
2016;0;0;0;0;0;0;0;0
2019;0;0;0;0;0;0;0;0
2000;0;0;245;72;255;96;1;184
2001;1;0;3;212;0;64;0;64
2002;2;0;1;187;2;200;2;108
2017;0;0;0;0;0;0;0;0
2001;1;0;3;111;0;193;0;193
2002;2;0;0;34;1;9;2;212
2006;0;0;0;0;0;0;0;0
2002;2;0;3;191;2;17;3;5
2000;0;0;245;72;0;0;0;0
2003;3;0;0;0;0;0;2;42
2004;0;56;0;100;1;44;0;64
2002;2;0;3;184;1;243;2;163
2001;1;0;3;154;0;66;0;66
2000;0;0;0;0;0;24;0;208
2001;1;0;2;109;0;44;0;44
2002;2;0;1;210;0;170;2;43
2015;7;238;0;3;0;0;0;3
2023;0;0;0;0;0;0;0;0
2002;2;0;3;54;3;67;1;107
2000;0;0;0;0;0;0;0;0
2016;0;0;0;0;0;0;0;0
2001;1;0;1;26;0;143;0;143
2002;2;0;1;151;3;223;0;82
2001;1;0;2;185;0;196;0;196
2002;2;0;2;199;1;59;3;173
2000;0;0;11;184;0;0;0;0
2001;1;0;3;4;0;46;0;46
2002;2;0;1;122;3;99;1;56
2001;1;0;0;158;0;37;0;37
2015;3;164;0;5;0;0;0;0
2018;0;0;0;0;0;0;0;0
2000;0;0;245;72;1;184;0;48
2002;2;0;0;152;1;68;0;56
2001;1;0;0;204;0;167;0;167
2002;2;0;3;4;2;104;2;178
2002;2;0;1;44;1;191;2;97
2005;0;0;0;0;0;0;0;0
2000;0;0;7;208;1;184;0;232
2001;1;0;3;28;0;46;0;46
2004;0;200;1;44;0;156;0;77
2006;0;0;0;0;0;0;0;0
2001;1;0;1;19;0;182;0;182
2002;2;0;0;162;0;109;2;18
2000;0;0;3;232;1;184;1;184
2015;6;157;0;150;0;0;0;3
2016;0;0;0;0;0;0;0;0
2019;0;0;0;0;0;0;0;0
2002;2;0;0;50;0;245;3;116
2000;0;0;11;184;0;0;1;184
2002;2;0;3;35;0;133;2;128
2017;0;0;0;0;0;0;0;0
2001;1;0;3;167;0;53;0;53
2002;2;0;0;50;2;84;2;50
2000;0;0;7;208;0;232;0;48
2001;1;0;1;195;0;126;0;126
2002;2;0;3;38;1;37;0;49
2001;1;0;0;116;0;52;0;52
2002;2;0;3;113;1;153;1;57
2015;7;226;0;18;0;0;0;2
2016;0;0;0;0;0;0;0;0
2002;2;0;1;235;2;13;0;246
2017;0;0;0;0;0;0;0;0
2001;1;0;2;141;0;156;0;156
2002;2;0;2;94;0;144;0;220
2006;0;0;0;0;0;0;0;0
2005;0;0;0;0;0;0;0;0
2000;0;0;7;208;1;184;0;0
2001;1;0;3;106;0;178;0;178
2002;2;0;2;13;1;207;3;226
2004;1;44;1;44;0;56;0;33
2001;1;0;1;255;0;38;0;38
2002;2;0;1;16;1;223;0;170
2003;3;0;0;0;0;0;3;168
2000;0;0;11;184;255;96;1;184
2001;1;0;3;210;0;195;0;195
2002;2;0;3;211;0;106;2;19
2015;2;126;0;63;0;0;0;3
2016;0;0;0;0;0;0;0;0
2018;0;0;0;0;0;0;0;0
2023;0;0;0;0;0;0;0;0
2001;1;0;1;56;0;110;0;110
2000;0;0;11;184;255;96;1;184
2001;1;0;1;15;0;19;0;19
2002;2;0;2;116;3;51;3;130
2017;0;0;0;0;0;0;0;0
2001;1;0;3;111;0;165;0;165
2002;2;0;1;178;2;162;1;250
2000;0;0;3;232;0;208;0;0
2001;1;0;2;19;0;95;0;95
2002;2;0;1;196;3;72;3;51
2001;1;0;2;164;0;11;0;11
2002;2;0;1;110;0;49;1;45
2000;0;0;0;0;255;72;0;48
2002;2;0;2;179;1;29;3;222
2005;0;0;0;0;0;0;0;0
2006;0;0;0;0;0;0;0;0
2015;1;208;0;147;0;0;0;2
2001;1;0;0;118;0;25;0;25
2002;2;0;2;25;1;62;3;89
2000;0;0;249;48;0;48;255;96
2003;3;0;0;0;0;0;3;135
2004;255;112;255;212;1;44;0;53
2001;1;0;2;48;0;58;0;58
2002;2;0;3;211;3;74;1;236
2001;1;0;1;201;0;118;0;118
2002;2;0;1;135;0;119;3;163
2000;0;0;0;0;0;232;255;96
2001;1;0;1;49;0;189;0;189
2002;2;0;0;176;0;27;3;179
2017;0;0;0;0;0;0;0;0
2023;0;0;0;0;0;0;0;0
2015;0;90;0;54;0;0;0;4
2001;1;0;0;6;0;7;0;7
2000;0;0;241;96;1;184;0;24
2002;2;0;3;241;3;200;1;222
2001;1;0;2;39;0;188;0;188
2002;2;0;1;86;0;210;3;52
2001;1;0;2;226;0;175;0;175
2002;2;0;3;46;1;121;2;121
2000;0;0;11;184;1;184;1;184
2001;1;0;1;66;0;162;0;162
2002;2;0;3;32;3;38;0;8
2015;6;235;0;146;0;0;0;0
2002;2;0;0;115;2;18;0;97
2002;2;0;2;61;2;70;2;160
2016;0;0;0;0;0;0;0;0
2001;1;0;3;123;0;93;0;93
2002;2;0;1;179;1;44;2;107
2000;0;0;253;24;255;96;0;232
2001;1;0;0;251;0;7;0;7
2002;2;0;0;110;2;116;3;33
2015;5;214;0;187;0;0;0;5
2016;0;0;0;0;0;0;0;0
2019;0;0;0;0;0;0;0;0
2001;1;0;1;192;0;158;0;158
2000;0;0;249;48;0;48;0;232
2002;2;0;0;238;3;164;3;31
2017;0;0;0;0;0;0;0;0
2001;1;0;0;176;0;197;0;197
2002;2;0;0;112;2;235;2;49
2000;0;0;3;232;255;96;255;96
2001;1;0;2;116;0;35;0;35
2002;2;0;3;228;3;239;2;71
2001;1;0;2;45;0;1;0;1
2002;2;0;2;170;0;118;1;47
2000;0;0;253;24;1;184;1;184
2001;1;0;0;249;0;134;0;134
2002;2;0;2;44;1;74;3;132
2015;1;100;0;222;0;0;0;1
2003;3;0;0;0;0;0;1;114
2004;0;100;0;156;1;44;0;63
2001;1;0;2;221;0;98;0;98
2002;2;0;2;52;2;115;3;166
2000;0;0;249;48;255;72;0;24
2001;1;0;0;49;0;44;0;44
2002;2;0;1;107;1;152;1;120
2001;1;0;3;62;0;88;0;88
2002;2;0;0;35;3;209;3;254
2000;0;0;241;96;255;72;0;0
2001;1;0;0;111;0;70;0;70
2002;2;0;1;154;2;164;2;11
2015;1;242;0;37;0;0;0;5
2017;0;0;0;0;0;0;0;0
2023;0;0;0;0;0;0;0;0
2016;0;0;0;0;0;0;0;0
2001;1;0;2;244;0;161;0;161
2002;2;0;1;99;3;52;1;92
2002;2;0;1;31;3;140;3;50
2000;0;0;3;232;0;48;0;0
2001;1;0;0;225;0;188;0;188
2002;2;0;0;153;2;103;3;32
2000;0;0;245;72;0;0;0;0
2001;1;0;1;75;0;9;0;9
2002;2;0;0;216;0;8;2;107
2005;0;0;0;0;0;0;0;0
2006;0;0;0;0;0;0;0;0
2015;6;235;0;21;0;0;0;0
2018;0;0;0;0;0;0;0;0
2002;2;0;3;147;3;155;1;185
2001;1;0;2;178;0;85;0;85
2001;1;0;3;67;0;89;0;89
2002;2;0;0;75;3;177;0;124
2000;0;0;253;24;1;184;255;72
2002;2;0;2;197;0;108;1;24
2001;1;0;0;223;0;104;0;104
2001;1;0;1;66;0;27;0;27
2002;2;0;3;93;1;76;0;100
2015;5;25;0;139;0;0;0;5
2016;0;0;0;0;0;0;0;0
2019;0;0;0;0;0;0;0;0
2002;2;0;0;113;1;168;3;176
2000;0;0;0;0;0;24;0;208
2000;0;0;7;208;0;48;255;72
2001;1;0;1;50;0;81;0;81
2002;2;0;0;160;0;239;0;189
2001;1;0;1;17;0;63;0;63
2002;2;0;2;42;2;179;1;49
2000;0;0;245;72;1;184;0;48
2001;1;0;2;255;0;19;0;19
2002;2;0;2;255;1;45;1;66
2001;1;0;3;92;0;197;0;197
2006;0;0;0;0;0;0;0;0
2002;2;0;0;197;2;53;3;79
2015;5;227;0;116;0;0;0;5
2016;0;0;0;0;0;0;0;0
2019;0;0;0;0;0;0;0;0
2001;1;0;1;152;0;25;0;25
2002;2;0;0;149;2;3;3;81
2017;0;0;0;0;0;0;0;0
2001;1;0;0;217;0;132;0;132
2002;2;0;3;199;1;239;3;251
2000;0;0;11;184;255;72;0;0
2001;1;0;2;75;0;88;0;88
2002;2;0;0;90;0;21;0;156
2001;1;0;1;31;0;189;0;189
2002;2;0;2;202;1;58;3;157
2000;0;0;3;232;0;24;0;0
2001;1;0;1;130;0;5;0;5
2002;2;0;1;42;0;45;0;232
2015;4;128;0;103;0;0;0;5
2002;2;0;3;73;3;217;2;236
2016;0;0;0;0;0;0;0;0
2000;0;0;241;96;0;48;1;184
2001;1;0;2;191;0;187;0;187
2002;2;0;1;152;3;11;0;98
2001;1;0;2;144;0;78;0;78
2002;2;0;0;211;0;196;3;42
2000;0;0;3;232;255;96;0;208
2001;1;0;0;123;0;166;0;166
2002;2;0;0;97;3;51;2;32
2006;0;0;0;0;0;0;0;0
2001;1;0;0;127;0;10;0;10
2004;0;156;0;0;0;100;0;41
2015;5;242;0;19;0;0;0;1
2019;0;0;0;0;0;0;0;0
2000;0;0;253;24;1;184;0;208
2005;0;0;0;0;0;0;0;0
2001;1;0;3;68;0;111;0;111
2002;2;0;3;105;2;15;1;40
2001;1;0;3;191;0;85;0;85
2002;2;0;2;127;0;213;1;129
2000;0;0;7;208;1;184;255;72
2002;2;0;3;53;1;20;1;213
2001;1;0;1;161;0;168;0;168
2001;1;0;1;242;0;48;0;48
2002;2;0;2;114;2;23;0;32
2000;0;0;0;0;1;184;0;208
2001;1;0;0;165;0;104;0;104
2002;2;0;2;53;0;197;3;37
2017;0;0;0;0;0;0;0;0
2023;0;0;0;0;0;0;0;0
2001;1;0;1;17;0;28;0;28
2000;0;0;7;208;255;96;0;232
2015;1;141;0;152;0;0;0;0
2001;1;0;0;73;0;70;0;70
2002;2;0;0;57;2;125;0;61
2001;1;0;1;107;0;170;0;170
2002;2;0;2;123;1;247;1;181
2000;0;0;3;232;255;72;255;96
2005;0;0;0;0;0;0;0;0
2006;0;0;0;0;0;0;0;0
2001;1;0;1;21;0;195;0;195
2002;2;0;0;21;0;163;2;64
2015;7;253;0;62;0;0;0;1
2018;0;0;0;0;0;0;0;0
2002;2;0;3;5;0;27;0;77
2003;3;0;0;0;0;0;0;194
2001;1;0;1;173;0;36;0;36
2002;2;0;3;172;3;192;2;186
2000;0;0;3;232;255;72;255;72
2001;1;0;3;27;0;115;0;115
2002;2;0;2;128;1;120;0;22
2001;1;0;0;225;0;112;0;112
2002;2;0;1;71;0;225;1;58
2000;0;0;3;232;0;24;255;96
2001;1;0;2;164;0;194;0;194
2002;2;0;2;42;0;19;2;123
2015;7;238;0;64;0;0;0;2
2016;0;0;0;0;0;0;0;0
2019;0;0;0;0;0;0;0;0
2023;0;0;0;0;0;0;0;0
2002;2;0;2;255;0;93;2;62
2017;0;0;0;0;0;0;0;0
2000;0;0;249;48;255;96;0;0
2001;1;0;2;35;0;198;0;198
2002;2;0;2;175;0;246;1;242
2001;1;0;2;233;0;127;0;127
2002;2;0;1;204;2;46;0;229
2005;0;0;0;0;0;0;0;0
2006;0;0;0;0;0;0;0;0
2000;0;0;253;24;0;232;0;24
2001;1;0;0;249;0;105;0;105
2002;2;0;1;10;1;62;2;42
2003;3;0;0;0;0;0;2;213
2004;255;212;0;0;0;100;0;1
2002;2;0;3;12;0;172;1;170
2015;2;47;0;171;0;0;0;4
2016;0;0;0;0;0;0;0;0
2019;0;0;0;0;0;0;0;0
2000;0;0;253;24;255;96;1;184
2001;1;0;1;222;0;19;0;19
2002;2;0;1;153;1;62;2;14
2001;1;0;1;164;0;167;0;167
2001;1;0;3;11;0;166;0;166
2002;2;0;0;42;1;177;3;30
2000;0;0;249;48;0;48;0;0
2002;2;0;0;198;0;35;1;246
2001;1;0;3;11;0;39;0;39
2001;1;0;2;91;0;179;0;179
2002;2;0;3;37;0;119;2;126
2000;0;0;241;96;0;232;255;72
2001;1;0;0;46;0;168;0;168
2002;2;0;2;8;1;75;2;191
2015;7;189;0;72;0;0;0;3
2017;0;0;0;0;0;0;0;0
2023;0;0;0;0;0;0;0;0
2001;1;0;0;100;0;115;0;115
2000;0;0;241;96;0;232;0;208
2016;0;0;0;0;0;0;0;0
2001;1;0;1;105;0;179;0;179
2002;2;0;2;132;3;92;0;91
2005;0;0;0;0;0;0;0;0
2006;0;0;0;0;0;0;0;0
2001;1;0;3;242;0;45;0;45
2002;2;0;1;123;0;44;1;243
2000;0;0;3;232;0;24;0;0
2003;3;0;0;0;0;0;2;96
2002;2;0;1;29;2;252;0;124
2004;0;56;0;0;0;0;0;64
2001;1;0;0;149;0;17;0;17
2002;2;0;3;23;1;51;1;115
2017;0;0;0;0;0;0;0;0
2000;0;0;3;232;255;72;255;72
2015;1;118;0;180;0;0;0;3
2001;1;0;1;58;0;8;0;8
2002;2;0;3;241;0;73;3;237
2001;1;0;2;163;0;195;0;195
2002;2;0;3;139;1;97;3;33
2000;0;0;245;72;0;24;0;208
2001;1;0;1;128;0;125;0;125
2002;2;0;1;209;0;56;1;230
2001;1;0;2;231;0;34;0;34
2002;2;0;1;144;1;47;1;115
2000;0;0;241;96;0;208;0;208
2015;7;210;0;222;0;0;0;4
2016;0;0;0;0;0;0;0;0
2019;0;0;0;0;0;0;0;0
2002;2;0;3;172;2;131;1;72
2000;0;0;249;48;0;24;0;48
2002;2;0;1;158;2;11;1;114
2017;0;0;0;0;0;0;0;0
2005;0;0;0;0;0;0;0;0
2006;0;0;0;0;0;0;0;0
2001;1;0;3;84;0;55;0;55
2002;2;0;2;198;2;201;0;152
2003;3;0;0;0;0;0;0;171
2004;0;56;0;200;0;200;0;60
2000;0;0;7;208;0;24;0;0
2001;1;0;2;225;0;108;0;108
2002;2;0;3;88;2;243;0;104
2001;1;0;3;213;0;44;0;44
2002;2;0;2;229;1;54;3;248
2015;2;151;0;9;0;0;0;0
2016;0;0;0;0;0;0;0;0
2019;0;0;0;0;0;0;0;0
2000;0;0;253;24;0;24;255;96
2002;2;0;2;180;1;92;2;164
2017;0;0;0;0;0;0;0;0
2001;1;0;3;229;0;60;0;60
2002;2;0;3;144;0;148;3;248
2000;0;0;249;48;255;72;255;72
2002;2;0;0;1;0;29;2;210
2001;1;0;3;118;0;148;0;148
2001;1;0;3;8;0;68;0;68
2002;2;0;3;75;3;247;1;123
2000;0;0;0;0;0;0;255;72
2001;1;0;3;130;0;61;0;61
2002;2;0;3;13;2;75;3;184
2015;1;178;0;155;0;0;0;3
2016;0;0;0;0;0;0;0;0
2019;0;0;0;0;0;0;0;0
2002;2;0;1;229;3;177;3;172
2000;0;0;0;0;0;48;255;96
2017;0;0;0;0;0;0;0;0
2005;0;0;0;0;0;0;0;0
2002;2;0;1;244;2;109;1;140
2006;0;0;0;0;0;0;0;0
2003;3;0;0;0;0;0;0;2
2004;0;0;255;212;255;212;0;21
2001;1;0;3;100;0;147;0;147
2002;2;0;1;236;1;12;3;27
2000;0;0;7;208;0;232;255;96
2002;2;0;3;119;2;230;2;67
2001;1;0;2;158;0;114;0;114
2001;1;0;3;48;0;171;0;171
2002;2;0;1;20;1;156;0;179
2015;2;244;0;154;0;0;0;1
2017;0;0;0;0;0;0;0;0
2000;0;0;253;24;255;96;1;184
2016;0;0;0;0;0;0;0;0
2001;1;0;0;3;0;118;0;118
2002;2;0;3;51;1;162;1;129
2001;1;0;2;70;0;195;0;195
2002;2;0;0;153;0;241;2;31
2000;0;0;11;184;0;232;0;24
2001;1;0;3;248;0;117;0;117
2002;2;0;3;3;1;43;1;171
2001;1;0;0;187;0;79;0;79
2002;2;0;0;224;0;193;1;73
2000;0;0;7;208;1;184;255;72
2001;1;0;2;95;0;13;0;13
2002;2;0;1;45;3;84;3;223
